Name,Industry,Sector,Headquarters,Founded,Notes
Tega Industries Ltd.,Industrials,Mining Equipments,Kolkata,1976,Mining Equipment
Terumo Penpol,Health care,Medical equipment,Thiruvananthapuram,1987,"Blood bag manufacturer, medical electronics, subsidiary of Terumo (Japan)"
The Himalaya Drug Company,Health care,Pharmaceuticals,Bengaluru,1930,Alternative medicines
The Times Group,Consumer services,Broadcasting & entertainment,Mumbai,1838,Media conglomerate
Thermax,Industrials,Electrical components & equipment,Pune,1980,Energy engineering
Thyrocare,Health care,-,Navi Mumbai,1996,"Diagnostic, Preventive care"
Titagarh Wagons,Industrials,Commercial rail vehicles,Bengaluru,1953,Railways Transport
Titan Company,Consumer goods,Clothing & accessories,Bengaluru,1984,"Watches, Luxury products"
Torrent Group,Conglomerate,-,Ahmedabad,1959,"Health care, industrials"
Tractors and Farm Equipment Limited,Industrials,Agricultural & farm machinery,Chennai,1960,Tractors
TradeIndia,Technology,Internet,New Delhi,1996,Portal
Travancore Cochin Chemicals,Basic materials,Commodity chemicals,Kochi,1961,Chemicals
Travancore Titanium Products,Basic materials,Specialty chemicals,Thiruvananthapuram,1946,Titanium dioxide
TTK Prestige,Consumer goods,Durable household products,Chennai,1955,Cookware
T-Series,Consumer services,Broadcasting & entertainment,Noida,1983,Record and film producer
TVS Motor Company,Consumer goods,Automobiles,Chennai,1978,Motorcycles
UCO Bank,Financials,Banks,Kolkata,1943,State bank
UltraTech Cement,Industrials,Building materials & fixtures,Mumbai,1983,Cement
Union Bank of India,Financials,Banks,Mumbai,1919,State bank
Unitech Group,Financials,Real estate holding & development,New Delhi,1972,Real estate development
United Breweries Group,Conglomerate,-,Bengaluru,1857,"Food & beverage, engineering, financials"
UPL (company),Basic materials,Speciality chemicals,Mumbai,1969,Chemicals
USV Private Limited,Health Care,Pharmaceuticals,Navi Mumbai,1961,Medicine
VA Tech Wabag,Utilities,Water,Chennai,1924,Water treatment
Vadilal,Conglomerate,-,Ahmedabad,1907,"Chemicals, food & beverage, financials"
Vedanta Limited,Basic materials,General mining,New Delhi,1979,"Mining, part of Vedanta Resources (UK)"
V-Guard Industries,Consumer goods,Consumer electronics,Kochi,1977,Electrical goods
Vicco Group,Health care,Pharmaceuticals,Mumbai,1952,Alternative medicines
Videocon,Conglomerate,-,Mumbai,1979,"Industrials, consumer goods, oil & gas"
Vijaya Bank,Financials,Banks,Bengaluru,1931,State bank
VIP Industries,Consumer goods,Recreational products,Mumbai,1971,Luggage
Voltas,Consumer goods,Consumer electronics,Mumbai,1954,Home appliances
Voonik,Consumer services,Broadline retailers,Bengaluru,2013,Online marketplace
VST Industries,Consumer goods,Tobacco,Hyderabad,1930,Tobacco
Wadia Group,Conglomerate,-,Mumbai,1736,"Chemicals, industrials"
Walchandnagar Industries,Conglomerate,-,Mumbai,1908,"Defense, energy, transportation"
WAPCOS Limited,Water resources,Consultancy,New Delhi,1969,Engineering & Consultancy
Welspun Corp,Industrials,General industry,Mumbai,1995,Part of Welspun Group
Welspun Energy,Energy,Electricity,New Delhi,2002,Part of Welspun Group
Welspun Investments and Commercials,Financials,Investment,Mumbai,2008,Part of Welspun Group
Welspun Group,Conglomerate,-,Mumbai,1985,"Steel, Energy, Investments, Retail"
Welspun India,Consumer goods,Clothing & accessories,Mumbai,1985,Part of Welspun Group
Welspun Retail,Consumer goods,-,Mumbai,2004,Part of Welspun Group
Welspun Maxsteel,Basic materials,Iron & steel,Mumbai,1989,Part of Welspun Group
West Bengal Electronics Industry Development Corporation (WEBEL),Industrials,Electrical components & equipment,Kolkata,1974,"Capacitors, driven equipment, picture tubes, telephone exchanges"
West Bengal Power Development Corporation (WBPDCL),Utilities,Conventional electricity,Kolkata,1985,Power generation
West Bengal State Coop Bank (WBSTCB),Financials,Banks,Kolkata,1918,State bank
West Bengal State Electricity Distribution Company (WBSEDCL),Utilities,Conventional electricity,Kolkata,2007,State utility
West Bengal State Electricity Transmission Company (WBSETCL),Utilities,Conventional electricity,Kolkata,2007,State utility
Wipro,Industrials,Business support services,Bengaluru,1945,"Consulting, BPO"
XOLO,Consumer goods,Consumer electronics,Noida,2012,Mobile handsets
Yantra,Industrials,Defense,Nagpur,2021,Defence equipments
Yatra,Consumer services,Travel & tourism,Gurugram,2006,Travel agency
Yebhi,Consumer services,Broadline retailers,Gurugram,2009,Online retailer
Yepme,Consumer services,Broadline retailers,Gurugram,2011,Online retailer
Yes Bank,Financials,Banks,Mumbai,2004,Private bank
Zandu Realty,Health care,Pharmaceuticals,Mumbai,1910,"Alternative medicines, part of Emami"
Zee Entertainment Enterprises,Consumer services,Broadcasting & entertainment,Mumbai,1992,Broadcaster
Zee News,Consumer services,Broadcasting & entertainment,Mumbai,1999,News channel
Zeta,Finance,Fintech,Mumbai,2015,Fintech
Zensar Technologies,Technology,Software,Pune,1991,IT services and software
Zoho Corporation,Technology,Software,Chennai,1996,Business management software
Zomato,Technology,Internet,Gurugram,2008,Food delivery
