Name,Industry,Sector,Headquarters,Founded,Notes
Infrastructure Leasing & Financial Services (IL&FS),Industrials,Financial services,Mumbai,1987,Infrastructure development
India Cements,Industrials,Building materials & fixtures,Tirunelveli,1946,Cement
India Optel,Industrials,Defense,Dehradun,2021,Opto-electronics
Indiabulls,Financials,Financial services,Gurugram,2000,Finance
Indian Bank,Financials,Banks,Chennai,1907,State-owned financial services
Indian Oil Corporation,Oil & gas,Exploration & production,New Delhi,1959,Petrochemicals
Indian Overseas Bank,Financials,Banks,Chennai,1937,Public bank
Indian Railways,Industrials,Railroads,New Delhi,1853,State railway
Indian Railway Stations Development Corporation,Railway Station redevelopment,Railroads,New Delhi,2012,Railway Station redevelopment
Indian Telephone Industries Limited,Technology,Telecommunications equipment,Bengaluru,1949,State telecom equipment
IndiGo,Consumer services,Airlines,Gurugram,2006,Low-cost airline
Indo Gulf Fertilisers,Basic materials,Specialty chemicals,Jagdishpur,1998[4],Fertilizers
IndusInd Bank,Financials,Banks,Mumbai,1994,Bank
Infibeam,Consumer services,Broadline retailers,Ahmedabad,2007,Online shopping
Infosys,Industrials,Business support services,Bengaluru,1981,Consulting
InMobi,Technology,Internet,Bangalore,2007,Online marketing
Inox Air Products,Industrial,Industrial suppliers,Mumbai,1963,Industrial gases
Inox Wind,Utilities,Alternative electricity,Noida,1963,Wind power
Intelenet Global Services,Industrials,Business support services,Mumbai,2000,"Consulting, BPO"
Intex Technologies,Consumer goods,Consumer electronics,New Delhi,1996,Mobile handsets
ITC,Conglomerate,-,Kolkata,1910,"Consumer goods, hotels, industrials"
Ittiam Systems,Technology,Software & IT services,Bengaluru,2001,Digital signal processing services
Jabong.com,Consumer services,Broadline retailers,Gurugram,2012,"E-commerce portal, defunct 2020"
Jain Irrigation Systems,Industrials,Agricultural & farm machinery,Jalgaon,1986,Irrigation equipment
Jaypee Group,Conglomerate,-,Noida,1979,"Engineering, real estate, cement"
Jakson Group,Industrials,Industrial engineering,Noida,1947,"Diesel generators, solar PV modules"
Jet Airways,Consumer services,Airlines,Mumbai,1992,Revived in 2022
Jindal Steel and Power,Basic materials,Iron & steel,New Delhi,1952,Steel
JSW Energy,Basic materials,Hydropower & Thermal power,Mumbai,1994,Power generation
JSW Steel Ltd,Basic materials,Iron & steel,Mumbai,1982,Steel
Jubilant FoodWorks,Consumer services,Restaurants & bars,Noida,1995,Food services
Kerala Electrical and Allied Engineering Company (KEL),Industrials,Electrical components & equipment,Kochi,1964,Heavy electricals
Khadim's,Consumer goods,Footwear,Kolkata,1981,Best shoe brand in India
Kalyani Group,Conglomerate,-,Pune,?,"Engineering, Steel, Automotive, Defense, Energy, Infrastructure"
Karbonn Mobiles,Telecommunications,Mobile telecommunications,Bengaluru,2009,Mobile network
Karnataka Bank,Financials,Banks,Mangaluru,1924,Bank
Karur Vysya Bank,Financials,Banks,Karur,1916,Bank
Kingfisher,Consumer goods,Brewers,Bangaluru,1857,"Alcoholic beverages, part of United Breweries Group"
Kirloskar Group,Conglomerate,-,Pune,1888,"Industrials, construction, automotive"
KPIT Technologies,Industrials,Automotive,Pune,1990,Automotive
Kokuyo Camlin,Consumer goods,Nondurable household products,Mumbai,1931,"Pens, stationary"
Konkan Railway Corporation,Industrials,Railroads,Navi Mumbai,1990,"Railway, part of Indian Railways"
Kotak Mahindra Bank,Financials,Banks,Mumbai,1965,Bank
KSK Energy Ventures,Utilities,Conventional electricity,Hyderabad,2001[5],Power generation
Kudremukh Iron Ore Company,Basic materials,Iron & steel,Mangaluru,1976,"Mining, iron"
Lakshmi Machine Works,Industrials,General industry,Coimbatore,1962,Machinery
Lakshmi Vilas Bank,Financials,Banks,Chennai,1926,Bank
Lanco Infratech,Conglomerate,-,New Delhi,1986,"Power, real estate, distribution"
Larsen & Toubro,Conglomerate,-,Mumbai,1938,"Industrials, ships, equipment, defense"
Lava International,Consumer goods,Consumer electronics,Noida,2009,"Computers, mobile handsets"
Liberty Shoes,Consumer goods,Clothing & accessories,Karnal,1954,Footwear
Life Insurance Corporation,Financials,Insurance,Mumbai,1956,State-owned Insurance company
Living Media,Consumer services,Publishing,New Delhi,1975,Publisher
Mahanadi Coalfields,Mining,Coal mining,Sambalpur,1992,Coal mining
Mahindra Aerospace,Industrials,Aerospace,Mumbai,2003,Light aircraft manufacturer
Mahindra & Mahindra,Consumer goods,Automobiles,Mumbai,1945,Car manufacturer
Mahindra Group,Conglomerate,-,Mumbai,1945,"Automotive, IT services, finance, hospitality, agribusiness, aerospace, defense, logistics, real estate"
MakeMyTrip,Technology,Internet,Gurugram,2000,Travel & tourism
Mangalore Chemicals & Fertilizers,Basic materials,Specialty chemicals,Bengaluru,1974,Fertilizers
Mangalore Refinery and Petrochemicals Limited,Oil & gas,Exploration & production,Mangaluru,1988,"State-owned refinery, part of ONGC"
Marico,Consumer goods,Personal products,Mumbai,1991,Health and beauty
Maruti Suzuki,Consumer goods,Automobiles,New Delhi,1981,"Automotive, part of Suzuki (Japan)"
Mastek,Industrials,Business support services,Mumbai,1982,Consulting
Mazagon Dock Shipbuilders,Industrials,Shipbuilding,Mumbai,1934,Ship building
MECON,Industrials,Business support services,Ranchi,1973,Consulting
Metro Shoes,Consumer goods,Clothing & accessories,Mumbai,1947,Footwear
Microland,Technology,Software,Bengaluru,1989,Software consulting
Micromax Informatics,Consumer goods,Consumer electronics,Gurugram,2000,"Consumer electronics, mobile handsets"
Milky Mist Dairy,Consumer goods,Food products,Erode,1992,Dairy
Mindtree,Industrials,Business support services,Bengaluru,1999,"Consulting, outsourcing"
Mindspace,Industrials,Business support services,Mumbai,1956,Industrial parks
Mishra Dhatu Nigam Limited(MIDHANI),Industrials,Specialized metals,Hyderabad,1973,Alloys
MMTC Ltd,Financials,Investment services,New Delhi,1963,Foreign exchange
Mistral Solutions,Industrials,Business support services,Bengaluru,1997,"Consulting, product design"
MKU (company),Industrials,Defense,Kanpur,1985,Military equipment
MOIL,Basic materials,General mining,Nagpur,1962,Mining
Moser Baer,Technology,Computer hardware,New Delhi,1983,Defunct in 2018
Mother Dairy,Consumer goods,Food products,Noida,1974,Dairy
Max Healthcare,Health Care,Health care providers,New Delhi,2001,part of Max Group
Max Life Insurance,Insurance,Insurance,New Delhi,2001,part of Max Group
Max Ventures and Industries,Financials,Real estate,New Delhi,2015,part of Max Group
Max Group,Conglomerate,-,New Delhi,1985,"Investment, Financial services, Healthcare"
Mercator,Industrials,Marine transportation,Mumbai,1983,shipping
"Modern Coach Factory, Raebareli",Industrials,Railway Factory,Raebareli,2012,Part of Indian Railways
Mphasis,Industrials,Business support services,Bengaluru,2000,"Consulting, outsourcing"
MRF,Consumer goods,Tires,Chennai,1946,Tyres
MS Shoes,Consumer goods,Clothing & accessories,Delhi,1986,Footwear
MSTC Limited,Consumer services,E-commerce,Kolkata,1964,Metal Trading
Mukand,Basic materials,Iron & steel,Mumbai,1937,Steel
Murugappa Group,Conglomerate,-,Chennai,1900,"Cycles, general insurance, Fertilizers, Abrasives, Automotive chains, Car door frames, Steel tubes & Gearboxes"
Muthoot Finance,Financials,Investment services,Kochi,1939,"Financial advice, trading"
The Muthoot Group,Conglomerate,-,Kochi,1887,"Financials, travel & leisure, healthcare, real estate"
Myntra,Consumer services,Broadline retailers,Bengaluru,2009,Online shopping
National Aluminium Company,Basic materials,Aluminium,Bhubaneswar,1981,Aluminium mining
Nayara Energy,Oil & gas,Exploration & production,Mumbai,2017,Major Stock own by Russian Companies Rosneft 49.13%
NBCC,Financials,Real estate holding & development,New Delhi,1960,State-owned developer
National Fertilizers,Basic materials,Specialty chemicals,Noida,1974,Fertilizers
NHPC Limited,Utilities,Alternative electricity,Faridabad,1975,Hydroelectric
National Mineral Development Corporation (NMDC),Basic materials,General mining,Hyderabad,1958,Mining
National Payments Corporation of India (NPCI),Financials,Payment,Mumbai,2008,Digital payment
NTPC Limited,Utilities,Conventional electricity,New Delhi,1975,Power generation
NBC Bearings,Industrials,General industry,Jaipur,1946,Bearings
NDTV,Consumer services,Broadcasting & entertainment,New Delhi,1988,Television
Nectar Lifesciences,Health care,Pharmaceuticals & life sciences,Chandigarh,1995,Generic pharma
Network 18,Consumer services,Broadcasting & entertainment,Noida,1993,Mass media
NIIT,Industrials,Business support services,Gurugram,1981,Consulting
Nilkamal Plastics,Basic materials,Commodity chemicals,Mumbai,1981,Industrial and consumer plastics
Nirma,Basic materials,Specialty chemicals,Ahmedabad,1990,"Chemicals, cement, Fast moving consumer goods"
NLC India Limited,Utilities,Conventional electricity,Neyveli,1956,Power generation
Novanet,Cloud computing,Cloud computing,Mumbai,1999,Cloud computing
Nuclear Power Corporation of India,Utilities,Nuclear industry,Mumbai,1987,State nuclear power generation
Nykaa,Consumer services,E-commerce,Mumbai,2012,Beauty products
Oil and Natural Gas Corporation,Oil & gas,Exploration & production,Dehradun,1956,State oil & gas
Oil India,Oil & gas,Exploration & production,Duliajan,1959,Hydrocarbon exploration and production
One 97 Paytm,Financials,,Noida,2000,Ecommerce and fintech
ONGC Videsh,Oil & Gas,Oil exploration,Delhi,1989,Oil exploration
OMPL,Oil & Gas,Oil exploration,Mangalore,2006,Oil exploration
Onida Electronics,Consumer goods,Consumer electronics,Mumbai,1981,Consumer electronics
OnMobile,Telecommunications,Mobile telecommunications,Bengaluru,2000,Mobile operator
Oracle Financial Services Software,Banking Software,Banking,Mumbai,1990,Banking Software
Ordnance Factories Board,Industrials,Defense,Kolkata,1775,"Defense systems, firearms.  Dissolved factories assets transferred to 7 PSU's in 2021. [6]"
Oswald Labs,Technology,Internet,New Delhi,2016,Accessibility technology
Pantaloons Fashion & Retail,Consumer services,Apparel retailers,Mumbai,1997,Clothing retailer
Paramount Airways,Consumer services,Airlines,Chennai,2005,"Airline, defunct 2010"
Parle Agro,Consumer goods,Beverages,Mumbai,1984,Drinks
Parle Products,Consumer goods,Food products,Mumbai,1929,Food
Patanjali Ayurved,Consumer goods,FMCG,Haridwar,2006,Food products
Pawan Hans,Consumer services,Airlines,Noida,1985,Helicopter services
Pentamedia Graphics,Consumer services,Broadcasting & entertainment,Chennai[7],1976[7],"Animation studio, digital services"
Persistent Systems,Technology,Software,Nagpur,1990,"Software, consulting"
Petronet LNG,Oil & gas,Exploration & production,New Delhi,1998,Oil & gas
Pidilite Industries,Basic materials,Specialty chemicals,Mumbai,1959,"Adhesives, chemicals"
Pine Labs,Financials,Fintech,Noida,1998,Merchant payment
Piramal Enterprises,Health care,Pharmaceuticals,Mumbai,1988,Pharma
Jindal Stainless,Basic materials,Iron & steel,New Delhi,1970,Steel
Power Finance Corporation,Financials,Financial services,New Delhi,1986,State financing
Power Grid Corporation of India,Utilities,Conventional electricity,Gurugram,1989,State power
Power Trading Corporation of India,Utilities,Conventional electricity,New Delhi,1999,State power
Praj,Basic materials,Speciality chemicals,Pune,1983,"Ethanol plant, Sugar processing"
Punj Lloyd,Industrials,Construction,New Delhi,1998[8],
Punjab & Sind Bank,Financials,Banks,New Delhi,1908,Bank
Punjab National Bank,Financials,Banks,New Delhi,1894,Bank
PVR Cinemas,Movie Theater,Movie,Gurgaon,1997,Movie Theater
Raheja Developers,Financials,Real estate,New Delhi,1990,Real estate
Raheja Group,Financials,Real estate,Mumbai,1956,"IT Parks, parent company of Mindspace"
Rajesh Exports,Basic materials,Gold,Bengaluru,1989,Gold mining
Ramco Systems,Technology,Software,Chennai,1992,Software
Ramco Group,Conglomerate,-,Chennai,1961,"IT, Software, Cement, Printing, Services, trade"
Ranbaxy Laboratories,Health care,Pharmaceuticals,Gurugram,1961,Pharma
Rapido (company),Consumer services,Transport,Bengaluru,2015,Bike's Cabs
Rashtriya Chemicals & Fertilizers,Basic materials,Specialty chemicals,Mumbai,1978,Fertilizers
